x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
  34.11,  190.70, 8.149435937500e-03,   7.0, 7.738609017857e-02, nan
 165.82,  220.68, 8.218871875000e-03,   3.0, 5.003554895833e-02, nan
   3.73,  231.74, 8.279017187500e-03,  27.0, 1.972392563079e-01, nan
  91.65,   69.22, 8.286473437500e-03,   2.0, 2.102884062500e-02, nan
  21.95,   23.61, 8.321192187500e-03, 143.0, 9.825233131556e-02, nan
 201.14,  103.63, 8.389801562500e-03,   3.0, 6.406948437500e-03, nan
  55.71,  207.08, 8.396542187500e-03,   5.0, 1.095841875000e-02, nan
 193.05,   94.74, 8.405717187500e-03,   1.0, 0.000000000000e+00, nan
  89.44,  195.44, 8.454892187500e-03, 140.0, 5.346898882366e-01, nan
 160.45,   58.49, 8.505362500000e-03,  23.0, 2.191903987092e-01, nan
 165.31,   48.42, 8.523521875000e-03,  15.0, 2.193787239583e-02, nan
 152.94,  109.36, 8.559175000000e-03,  47.0, 2.958285314162e-01, nan
  13.65,   34.59, 8.645567187500e-03, 333.0, 3.135732341779e-01, nan
  10.24,  134.04, 8.651651562500e-03,  79.0, 1.971762631725e-01, nan
  20.35,   56.53, 8.652489062500e-03, 134.0, 3.128189040812e-01, nan
   5.33,   91.68, 8.697746875000e-03,  78.0, 1.435592913862e-01, nan
  14.22,   36.19, 8.717904687500e-03, 140.0, 2.437141802790e-01, nan
   5.44,  192.52, 8.718301562500e-03,   5.0, 4.684013843750e-02, nan
  77.96,   35.38, 8.731359375000e-03, 149.0, 5.041494077181e-01, nan
   6.82,   26.21, 8.745298437500e-03,  33.0, 1.687381630208e-01, nan
 147.16,  230.38, 8.793032812500e-03,   2.0, 2.489809609375e-02, nan
  36.32,   68.79, 8.809901562500e-03,  22.0, 1.803727930398e-01, nan
  50.99,   29.51, 8.845021875000e-03, 124.0, 4.012312568044e-01, nan
  43.07,   48.69, 8.847875000000e-03,  26.0, 8.382008774038e-02, nan
  12.08,   16.78, 8.861396875000e-03,  17.0, 6.561227977941e-02, nan
   8.36,   59.32, 8.895664062500e-03,  82.0, 2.241011802020e-01, nan
 165.01,  164.80, 9.050579687500e-03,  26.0, 1.488469454327e-01, nan
 237.65,   56.93, 9.140529687500e-03,   2.0, 4.826607734375e-02, nan
  26.30,   29.14, 9.189771875000e-03,  57.0, 5.234054775768e-01, nan
  13.99,   11.05, 9.224131250000e-03,   7.0, 2.804944776786e-02, nan
  28.13,  101.78, 9.234090625000e-03,  15.0, 1.322014485417e-01, nan
 133.90,  138.94, 9.370589062500e-03,   2.0, 2.543081015625e-02, nan
   6.81,  229.41, 9.392151562500e-03,  29.0, 1.186940082435e-01, nan
 136.47,  164.06, 9.494384375000e-03,   8.0, 2.395120878906e-02, nan
 146.79,  127.14, 9.507842187500e-03,   2.0, 1.280194296875e-02, nan
  66.64,  231.55, 9.617120312500e-03,  73.0, 4.500463169949e-01, nan
 148.49,  152.74, 9.647635937500e-03,   2.0, 1.668696562500e-02, nan
 140.52,  215.43, 9.671765625000e-03,   3.0, 1.330447500000e-02, nan
 141.81,  189.02, 9.676157812500e-03,   5.0, 7.734062843750e-02, nan
  22.77,   36.29, 9.715118750000e-03,  12.0, 3.768240325521e-02, nan
 253.54,   62.28, 9.799676562500e-03,   9.0, 1.094441628472e-01, nan
 127.69,  129.04, 9.990096875000e-03,   2.0, 1.726976562500e-02, nan
 141.49,   58.06, 1.014185781250e-02,   3.0, 3.123353645833e-02, nan
 109.57,  121.05, 1.036450937500e-02,   3.0, 4.066780729167e-02, nan
 181.61,  224.46, 1.046637968750e-02,  92.0, 6.298099002887e-01, nan
 140.98,  184.40, 1.050937656250e-02,   2.0, 1.458701562500e-02, nan
  40.91,   49.77, 1.054059687500e-02,  10.0, 6.344674890625e-02, nan
  82.28,  214.35, 1.062088437500e-02, 127.0, 6.559648931102e-01, nan
  53.56,  247.39, 1.062411718750e-02,  36.0, 2.842868312934e-01, nan
  63.47,  257.28, 1.062436250000e-02,  16.0, 1.110485713867e-01, nan
  69.89,  246.49, 1.062536875000e-02,   3.0, 4.314839947917e-02, nan
  51.87,  250.23, 1.063342968750e-02,   4.0, 6.466663750000e-02, nan
  66.26,  230.78, 1.079476406250e-02,   2.0, 3.877762187500e-02, nan
   6.24,  236.53, 1.084082187500e-02,   7.0, 7.575526116071e-02, nan
 177.99,  169.87, 1.085655781250e-02,   3.0, 5.011754947917e-02, nan
 151.76,   76.80, 1.085957187500e-02,  12.0, 7.612492838542e-03, nan
  44.90,   58.91, 1.086710312500e-02,   7.0, 1.947018593750e-02, nan
 238.61,  182.80, 1.177319843750e-02,  16.0, 4.187448662109e-02, nan
 213.13,  167.96, 1.177483125000e-02,   3.0, 2.635751197917e-02, nan
 218.12,  200.58, 1.179023125000e-02,   2.0, 1.936124765625e-02, nan
 157.87,   23.64, 1.189947656250e-02,   5.0, 4.628379312500e-02, nan
  40.20,   67.07, 1.270166406250e-02,   8.0, 3.139728183594e-02, nan
  34.66,    4.42, 1.289914531250e-02,  19.0, 2.241743027961e-01, nan
  68.00,  184.19, 1.296807656250e-02,  53.0, 2.838662568986e-01, nan
  90.09,  157.28, 1.301340625000e-02,   3.0, 6.361274114583e-02, nan
  22.56,  136.44, 1.305367656250e-02,  54.0, 5.102059600694e-02, nan
